Alter;AlterJahr;Geschlecht;Anzahl;Altersgruppe
31-Jährige;31;weiblich;33882;30 bis < 40 Jahre
31-Jährige;31;Insgesamt;68537;30 bis < 40 Jahre
32-Jährige;32;männlich;34604;30 bis < 40 Jahre
32-Jährige;32;weiblich;33894;30 bis < 40 Jahre
32-Jährige;32;Insgesamt;68498;30 bis < 40 Jahre
33-Jährige;33;männlich;34681;30 bis < 40 Jahre
33-Jährige;33;weiblich;33899;30 bis < 40 Jahre
33-Jährige;33;Insgesamt;68580;30 bis < 40 Jahre
34-Jährige;34;männlich;34047;30 bis < 40 Jahre
34-Jährige;34;weiblich;32498;30 bis < 40 Jahre
34-Jährige;34;Insgesamt;66545;30 bis < 40 Jahre
35-Jährige;35;männlich;32693;30 bis < 40 Jahre
35-Jährige;35;weiblich;31261;30 bis < 40 Jahre
35-Jährige;35;Insgesamt;63954;30 bis < 40 Jahre
36-Jährige;36;männlich;31669;30 bis < 40 Jahre
36-Jährige;36;weiblich;30074;30 bis < 40 Jahre
36-Jährige;36;Insgesamt;61743;30 bis < 40 Jahre
37-Jährige;37;männlich;30648;30 bis < 40 Jahre
37-Jährige;37;weiblich;28732;30 bis < 40 Jahre
37-Jährige;37;Insgesamt;59380;30 bis < 40 Jahre
38-Jährige;38;männlich;29317;30 bis < 40 Jahre
38-Jährige;38;weiblich;28124;30 bis < 40 Jahre
38-Jährige;38;Insgesamt;57441;30 bis < 40 Jahre
39-Jährige;39;männlich;29358;30 bis < 40 Jahre
39-Jährige;39;weiblich;27850;30 bis < 40 Jahre
39-Jährige;39;Insgesamt;57208;30 bis < 40 Jahre
40-Jährige;40;männlich;28259;40 bis < 50 Jahre
40-Jährige;40;weiblich;27465;40 bis < 50 Jahre
40-Jährige;40;Insgesamt;55724;40 bis < 50 Jahre
41-Jährige;41;männlich;27691;40 bis < 50 Jahre
41-Jährige;41;weiblich;26441;40 bis < 50 Jahre
41-Jährige;41;Insgesamt;54132;40 bis < 50 Jahre
